Sample,Cluster
200860_s_at,0
200861_at,0
200862_at,0
200863_s_at,0
200864_s_at,1
200865_at,1
200866_s_at,0
200867_at,1
200868_s_at,0
200869_at,0
200870_at,0
200871_s_at,0
200872_at,0
200873_s_at,0
200874_s_at,0
200875_s_at,0
200876_s_at,0
200877_at,0
200878_at,0
200879_s_at,1
200880_at,0
200881_s_at,0
200882_s_at,0
200883_at,0
200884_at,0
200885_at,0
200886_s_at,0
200887_s_at,0
200888_s_at,0
200889_s_at,0
200890_s_at,1
200891_s_at,0
200892_s_at,0
200893_at,0
200894_s_at,1
200895_s_at,0
200896_x_at,0
200897_s_at,0
200898_s_at,1
200899_s_at,1
200900_s_at,1
200901_s_at,0
200902_at,0
200903_s_at,0
200904_at,0
200905_x_at,0
200906_s_at,1
200907_s_at,0
200908_s_at,1
200909_s_at,0
200910_at,0
200911_s_at,0
200912_s_at,0
200913_at,1
200914_x_at,0
200915_x_at,0
200916_at,0
200917_s_at,1
200918_s_at,0
200919_at,0
200920_s_at,0
200921_s_at,0
200922_at,0
200923_at,0
200924_s_at,1
200925_at,0
200926_at,0
200927_s_at,0
200928_s_at,1
200929_at,0
200930_s_at,1
200931_s_at,0
200932_s_at,0
200933_x_at,0
200934_at,0
200935_at,1
200936_at,0
200937_s_at,0
200938_s_at,1
200939_s_at,1
200940_s_at,0
200941_at,0
200942_s_at,0
200943_at,0
200944_s_at,0
200945_s_at,0
200946_x_at,0
200947_s_at,0
200948_at,0
200949_x_at,0
200950_at,0
200951_s_at,1
200952_s_at,1
200953_s_at,0
200954_at,0
200955_at,0
200956_s_at,1
200957_s_at,1
200958_s_at,0
200959_at,0
200960_x_at,0
200961_at,0
200962_at,1
200963_x_at,0
200964_at,0
200965_s_at,0
200966_x_at,0
200967_at,0
200968_s_at,0
200969_at,0
200970_s_at,0
200971_s_at,0
200972_at,0
200973_s_at,0
200974_at,0
200975_at,0
200976_s_at,0
200977_s_at,0
200978_at,0
200979_at,1
200980_s_at,0
200981_x_at,0
200982_s_at,1
200983_x_at,0
200984_s_at,0
200985_s_at,0
200986_at,1
200987_x_at,1
200988_s_at,1
200989_at,0
200990_at,0
200991_s_at,1
200992_at,0
200993_at,0
200994_at,0
200995_at,1
200996_at,0
200997_at,0
200998_s_at,0
200999_s_at,0
201000_at,0
201001_s_at,0
201002_s_at,0
201003_x_at,0
201004_at,0
201005_at,0
201006_at,1
201007_at,0
201008_s_at,0
201009_s_at,0
201010_s_at,0
201011_at,0
201012_at,0
201013_s_at,0
201014_s_at,1
201015_s_at,0
201016_at,1
201017_at,1
201018_at,0
201019_s_at,0
201020_at,0
201021_s_at,0
201022_s_at,0
201023_at,0
201024_x_at,0
201025_at,1
201026_at,1
201027_s_at,1
201028_s_at,0
201029_s_at,0
201030_x_at,0
201031_s_at,0
201032_at,0
201033_x_at,0
201034_at,0
201035_s_at,0
201036_s_at,0
201037_at,0
201038_s_at,1
201039_s_at,1
201040_at,1
201041_s_at,0
201042_at,0
201043_s_at,1
201044_x_at,1
201045_s_at,1
201046_s_at,0
201047_x_at,0
201048_x_at,1
201049_s_at,0
201050_at,1
201051_at,0
201052_s_at,0
201053_s_at,1
201054_at,0
201055_s_at,0
201056_at,1
201057_s_at,0
201058_s_at,0
201059_at,0
201060_x_at,1
201061_s_at,0
201062_at,1
201063_at,0
201064_s_at,0
201065_s_at,1
201066_at,0
201067_at,1
201068_s_at,0
201069_at,0
201070_x_at,0
201071_x_at,0
201072_s_at,1
201073_s_at,1
201074_at,0
201075_s_at,1
201076_at,0
201077_s_at,0
201078_at,0
201079_at,0
201080_at,1
201081_s_at,1
201082_s_at,1
201083_s_at,1
201084_s_at,0
201085_s_at,1
201086_x_at,0
201087_at,0
201088_at,0
201089_at,0
201090_x_at,0
201091_s_at,1
201092_at,0
201093_x_at,0
201094_at,0
201095_at,0
201096_s_at,0
201097_s_at,0
201098_at,0
201099_at,0
201100_s_at,0
201101_s_at,1
201102_s_at,0
201103_x_at,0
201104_x_at,0
201105_at,0
201106_at,0
201107_s_at,1
201108_s_at,0
201109_s_at,0
201110_s_at,0
201111_at,1
201112_s_at,0
201113_at,0
201114_x_at,0
201115_at,1
201116_s_at,1
201117_s_at,1
201118_at,0
201119_s_at,0
201120_s_at,0
201121_s_at,0
201122_x_at,0
201123_s_at,0
201124_at,1
201125_s_at,0
201126_s_at,0
201127_s_at,1
201128_s_at,0
201129_at,0
201130_s_at,0
201131_s_at,0
201132_at,1
201133_s_at,0
201134_x_at,0
201135_at,0
201136_at,0
201137_s_at,0
201138_s_at,1
201139_s_at,1
201140_s_at,0
201141_at,0
201142_at,0
201143_s_at,1
201144_s_at,0
201145_at,0
201146_at,0
201147_s_at,1
201148_s_at,1
201149_s_at,1
201150_s_at,1
201151_s_at,1
201152_s_at,0
201153_s_at,0
201154_x_at,0
201155_s_at,0
201156_s_at,0
201157_s_at,0
201158_at,1
201159_s_at,1
201160_s_at,0
201161_s_at,0
201162_at,0
201163_s_at,0
201164_s_at,0
201165_s_at,0
201166_s_at,0
201167_x_at,1
201168_x_at,0
201169_s_at,1
201170_s_at,0
201171_at,1
201172_x_at,0
201173_x_at,0
201174_s_at,0
201175_at,0
201176_s_at,0
201177_s_at,1
201178_at,0
201179_s_at,0
201180_s_at,0
201181_at,1
201182_s_at,1
201183_s_at,0
201184_s_at,0
201185_at,0
201186_at,0
201187_s_at,1
201188_s_at,1
201189_s_at,0
201190_s_at,0
201191_at,1
201192_s_at,0
201193_at,0
201194_at,0
201195_s_at,1
201196_s_at,0
201197_at,0
201198_s_at,0
201199_s_at,0
201200_at,0
201201_at,0
201202_at,0
201203_s_at,1
201204_s_at,0
201205_at,1
201206_s_at,0
201207_at,0
201208_s_at,1
201209_at,0
201210_at,0
201211_s_at,1
201212_at,0
201213_at,1
201214_s_at,0
201215_at,0
201216_at,0
201217_x_at,0
201218_at,0
201219_at,1
201220_x_at,0
201221_s_at,0
201222_s_at,0
201223_s_at,0
201224_s_at,1
201225_s_at,0
201226_at,0
201227_s_at,0
201228_s_at,1
201229_s_at,1
201230_s_at,1
201231_s_at,0
201232_s_at,0
201233_at,1
201234_at,0
201235_s_at,0
201236_s_at,0
201237_at,1
201238_s_at,0
201239_s_at,0
201240_s_at,0
201241_at,0
201242_s_at,0
201243_s_at,0
201244_s_at,0
201245_s_at,0
201246_s_at,1
201247_at,0
201248_s_at,0
201249_at,1
201250_s_at,0
201251_at,0
201252_at,1
201253_s_at,0
201254_x_at,0
201255_x_at,0
201256_at,0
201257_x_at,0
201258_at,0
201259_s_at,0
201260_s_at,0
201261_x_at,1
201262_s_at,1
201263_at,0
201264_at,0
201265_at,1
201266_at,0
201267_s_at,0
201268_at,0
201269_s_at,1
201270_x_at,0
201271_s_at,0
201272_at,0
201273_s_at,0
201274_at,0
201275_at,0
201276_at,0
201277_s_at,0
201278_at,0
201279_s_at,0
201280_s_at,1
201281_at,0
201282_at,0
201283_s_at,1
201284_s_at,0
201285_at,0
201286_at,0
201287_s_at,0
201288_at,0
201289_at,1
201290_at,0
201291_s_at,1
201292_at,1
201293_x_at,0
201294_s_at,1
201295_s_at,1
201296_s_at,0
201297_s_at,1
201298_s_at,0
201299_s_at,1
201300_s_at,0
201301_s_at,0
201302_at,0
201303_at,0
201304_at,0
201305_x_at,0
201306_s_at,0
201307_at,0
201308_s_at,1
201309_x_at,1
201310_s_at,0
201311_s_at,0
201312_s_at,0
201313_at,1
201314_at,1
201315_x_at,0
201316_at,1
201317_s_at,0
201318_s_at,0
201319_at,0
201320_at,1
201321_s_at,1
201322_at,0
201323_at,1
201324_at,0
201325_s_at,0
201326_at,1
201327_s_at,0
201328_at,0
201329_s_at,0
201330_at,1
201331_s_at,0
201332_s_at,1
201333_s_at,1
201334_s_at,0
201335_s_at,1
201336_at,0
201337_s_at,0
201338_x_at,0
201339_s_at,0
201340_s_at,1
201341_at,0
201342_at,1
201343_at,0
201344_at,1
201345_s_at,0
201346_at,0
201347_x_at,0
201348_at,0
201349_at,0
201350_at,0
201351_s_at,0
201352_at,0
201353_s_at,0
201354_s_at,1
201355_s_at,0
201356_at,0
201357_s_at,1
201358_s_at,0
201359_at,0
201360_at,0
201361_at,0
201362_at,0
201363_s_at,0
201364_s_at,0
201365_at,0
201366_at,0
201367_s_at,1
201368_at,0
201369_s_at,0
201370_s_at,1
201371_s_at,0
201372_s_at,1
201373_at,1
201374_x_at,1
201375_s_at,0
201376_s_at,0
201377_at,1
201378_s_at,1
201379_s_at,1
201380_at,1
201381_x_at,0
201382_at,1
201383_s_at,0
201384_s_at,0
201385_at,0
201386_s_at,0
201387_s_at,1
201388_at,0
201389_at,1
201390_s_at,0
201391_at,0
201392_s_at,1
201393_s_at,1
201394_s_at,0
201395_at,1
201396_s_at,1
201397_at,1
201398_s_at,0
201399_s_at,0
201400_at,0
201401_s_at,1
201402_at,1
201403_s_at,0
201404_x_at,0
201405_s_at,0
201406_at,0
201407_s_at,1
201408_at,0
201409_s_at,0
201410_at,0
201411_s_at,1
201412_at,0
201413_at,0
201414_s_at,0
201415_at,0
201416_at,0
201417_at,0
201418_s_at,1
201419_at,1
201420_s_at,1
201421_s_at,0
201422_at,0
201423_s_at,1
201424_s_at,1
201425_at,0
201426_s_at,0
201427_s_at,0
201428_at,0
201429_s_at,0
201430_s_at,1
201431_s_at,1
201432_at,0
201433_s_at,0
201434_at,1
201435_s_at,0
201436_at,1
201437_s_at,1
201438_at,0
201439_at,1
201440_at,1
201441_at,0
201442_s_at,1
201443_s_at,0
201444_s_at,0
201445_at,1
201446_s_at,1
201447_at,1
201448_at,1
201449_at,1
201450_s_at,1
201451_x_at,1
201452_at,1
201453_x_at,0
201454_s_at,0
201455_s_at,0
201456_s_at,1
201457_x_at,0
201458_s_at,1
201459_at,1
201460_at,0
201461_s_at,1
201462_at,1
201463_s_at,0
201464_x_at,0
201465_s_at,0
201466_s_at,0
201467_s_at,1
201468_s_at,0
201469_s_at,1
201470_at,0
201471_s_at,0
201472_at,0
201473_at,0
201474_s_at,0
201475_x_at,0
201476_s_at,1
201477_s_at,0
201478_s_at,1
201479_at,0
201480_s_at,0
201481_s_at,0
201482_at,0
201483_s_at,1
201484_at,1
201485_s_at,1
201486_at,1
201487_at,0
201488_x_at,0
201489_at,0
201490_s_at,0
201491_at,0
201492_s_at,0
201493_s_at,0
201494_at,0
201495_x_at,1
201496_x_at,1
201497_x_at,0
201498_at,0
201499_s_at,0
201500_s_at,0
201501_s_at,1
201502_s_at,0
201503_at,0
201504_s_at,1
201505_at,1
201506_at,0
201507_at,1
201508_at,0
201509_at,1
201510_at,0
201511_at,0
201512_s_at,1
201513_at,1
201514_s_at,1
201515_s_at,0
201516_at,1
201517_at,1
201518_at,0
201519_at,0
201520_s_at,0
201521_s_at,1
201522_x_at,0
201523_x_at,0
201524_x_at,0
201525_at,0
201526_at,0
201527_at,0
201528_at,1
201529_s_at,1
201530_x_at,0
201531_at,0
201532_at,0
201533_at,0
201534_s_at,0
201535_at,0
201536_at,0
201537_s_at,1
201538_s_at,1
201539_s_at,1
201540_at,0
201541_s_at,1
201542_at,0
201543_s_at,0
201544_x_at,0
201545_s_at,1
201546_at,0
201547_at,1
201548_s_at,0
201549_x_at,0
201550_x_at,0
201551_s_at,0
201552_at,0
201553_s_at,0
201554_x_at,0
201555_at,0
201556_s_at,1
201557_at,1
201558_at,1
201559_s_at,1
201560_at,0
201561_s_at,0
201562_s_at,0
201563_at,0
201564_s_at,1
201565_s_at,0
201566_x_at,0
201567_s_at,0
201568_at,0
201569_s_at,1
201570_at,0
201571_s_at,1
201572_x_at,0
201573_s_at,0
201574_at,0
201575_at,0
201576_s_at,0
201577_at,0
201578_at,1
201579_at,0
201580_s_at,0
201581_at,1
201582_at,1
201583_s_at,0
201584_s_at,0
201585_s_at,0
201586_s_at,0
201587_s_at,0
201588_at,0
201589_at,1
201590_x_at,0
201591_s_at,0
201592_at,0
201593_s_at,0
201594_s_at,0
201595_s_at,0
201596_x_at,0
201597_at,0
201598_s_at,1
201599_at,0
201600_at,0
201601_x_at,0
201602_s_at,1
201603_at,1
201604_s_at,1
201605_x_at,0
201606_s_at,0
201607_at,1
201608_s_at,0
201609_x_at,0
201610_at,1
201611_s_at,0
201612_at,0
201613_s_at,1
201614_s_at,1
201615_x_at,1
201616_s_at,1
201617_x_at,1
201618_x_at,1
201619_at,0
201620_at,0
201621_at,0
201622_at,0
201623_s_at,0
201624_at,1
201625_s_at,0
201626_at,0
201627_s_at,0
201628_s_at,0
201629_s_at,1
201630_s_at,0
201631_s_at,0
201632_at,1
201633_s_at,1
201634_s_at,1
201635_s_at,1
201636_at,1
201637_s_at,1
201638_s_at,1
201639_s_at,1
201640_x_at,1
201641_at,1
201642_at,0
201643_x_at,0
201644_at,0
201645_at,1
201646_at,0
201647_s_at,0
201648_at,0
201649_at,0
201650_at,0
201651_s_at,0
201652_at,0
201653_at,0
201654_s_at,1
201655_s_at,1
201656_at,0
201657_at,1
201658_at,0
201659_s_at,0
201660_at,0
201661_s_at,0
201662_s_at,0
201663_s_at,1
